ID	title	year	runtime	rating	votes	budget	opening_weekend_usa	gross_usa	worldwide_gross	genres
tt0035423	Kate & Leopold	2001	118	6.4	75334	48000000	9725408	47121859	76019048	Comedy,Fantasy,Romance
tt0069049	The Other Side of the Wind	2018	122	6.9	5025	n/a	n/a	n/a	n/a	Drama
tt0118589	Glitter	2001	104	2.2	20962	22000000	2414596	4274407	5271666	Drama,Music,Romance
tt0118694	In the Mood for Love	2000	98	8.1	109821	n/a	113280	2738980	12854953	Drama,Romance
tt0118926	The Dancer Upstairs	2002	132	6.9	6130	n/a	106142	2377348	5227348	Crime,Drama,Thriller
tt0119273	Heavy Metal 2000	2000	88	5.4	7370	15000000	n/a	n/a	n/a	Action,Adventure,Animation
tt0120202	State and Main	2000	105	6.7	19735	n/a	580163	6944471	9206279	Comedy,Drama
tt0120263	Songs from the Second Floor	2000	98	7.6	16212	n/a	n/a	80334	80334	Comedy,Drama
tt0120630	Chicken Run	2000	84	7.0	167425	45000000	17506162	106834564	224834564	Adventure,Animation,Comedy
tt0120667	Fantastic Four	2005	106	5.7	301112	100000000	56061504	154696080	330120875	Action,Adventure,Fantasy
tt0120679	Frida	2002	123	7.4	76055	12000000	205996	25885000	56298474	Biography,Drama,Romance
tt0120681	From Hell	2001	122	6.8	141201	35000000	11014818	31602566	74558115	Horror,Mystery,Thriller
tt0120737	The Lord of the Rings: The Fellowship of the Ring	2001	178	8.8	1549536	93000000	47211490	315544750	872491916	Adventure,Drama,Fantasy
tt0120753	The Million Dollar Hotel	2000	122	5.9	20133	8000000	29483	59989	105983	Drama,Mystery,Thriller
tt0120755	Mission: Impossible II	2000	123	6.1	296692	125000000	57845297	215409889	546388105	Action,Adventure,Thriller
tt0120804	Resident Evil	2002	100	6.7	235580	33000000	17707106	40119709	102984862	Action,Horror,Sci-Fi
tt0120824	The Shipping News	2001	111	6.7	31082	38000000	1205174	11434216	24690441	Drama
tt0120903	X-Men	2000	104	7.4	546233	75000000	54471475	157299718	296339528	Action,Adventure,Sci-Fi
tt0120912	Men in Black II	2002	88	6.2	323161	140000000	52148751	193735288	445135288	Action,Adventure,Comedy
